Date,Close,Volume,Open,High,Low
07/08/2019,376.16,3113402,378.19,378.25,375.36
07/05/2019,380.55,3732162,378.29,381.4,375.555
07/03/2019,381.72,3799009,376.69,381.99,375.84
07/02/2019,375.43,3628962,374.89,376,370.31
07/01/2019,374.6,5001518,373.5,376.66,372
06/28/2019,367.32,4592706,370.26,371.5448,364.87
06/27/2019,370.02,4138575,363.2,370.85,363.2
06/26/2019,362.2,3669677,361.6,366.79,361.6
06/25/2019,360.3,5750383,370.75,370.9994,358.29
06/24/2019,371.04,4830240,370.27,375,370.2
06/21/2019,369.21,7448356,365,371.45,365
06/20/2019,365.21,5899467,365.91,370.12,361.215
06/19/2019,363.52,5667156,361.72,364.74,356.12
06/18/2019,357.12,5428542,355.57,361.5,353.75
06/17/2019,350.62,5358219,342.69,351.77,342.06
06/14/2019,339.73,5019011,341.63,343.4,336.155
06/13/2019,343.43,6209347,347.23,348.5,339.25
06/12/2019,345.56,4584704,351.82,353.61,343.23
06/11/2019,351.27,5396712,355,357.58,348.5
06/10/2019,352.01,7810261,363.65,367.1,349.285
06/07/2019,360.87,4777321,357.39,365.15,355.69
06/06/2019,357.13,3709955,354.84,358.21,352.09
06/05/2019,355.73,5020081,354.38,357.88,348.71
06/04/2019,353.4,7891632,345,353.61,343.25
06/03/2019,336.63,7849589,343.56,347.66,332.65
05/31/2019,343.28,5023449,347.22,349.34,342.92
05/30/2019,351.85,4008042,350.55,354.21,348.3
05/29/2019,349.19,5658913,353.6,353.8476,345.9
05/28/2019,354.78,4717144,354.39,361.2,353.64
05/24/2019,354.39,3830963,355.41,359.44,353.791
05/23/2019,352.21,5630443,355.5,357.42,347.7
05/22/2019,359.73,6229389,358.01,370.46,357.3
05/21/2019,354.27,4026369,350.95,356.425,349.93
05/20/2019,348.11,4621515,351.23,352.418,345.4
05/17/2019,354.45,4725448,356.39,359.62,353.785
05/16/2019,359.31,6441463,356.37,364,353.935
05/15/2019,354.99,6340118,343.34,356.5,341.39
05/14/2019,345.61,5353029,348.71,349.95,342.5
05/13/2019,345.26,8026697,352.29,354.26,343.1
